,index,STN_LABEL,AccidentSeverityCategory,COM_NAME,# of accidents,AccidentUID,AccidentType,AccidentType_de,AccidentType_fr,AccidentType_it,AccidentType_en,AccidentSeverityCategory_de,AccidentSeverityCategory_fr,AccidentSeverityCategory_it,AccidentSeverityCategory_en,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,RoadType_de,RoadType_fr,RoadType_it,RoadType_en,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,CantonCode,MunicipalityCode,AccidentYear,AccidentMonth,AccidentMonth_de,AccidentMonth_fr,AccidentMonth_it,AccidentMonth_en,AccidentWeekDay,AccidentWeekDay_de,AccidentWeekDay_fr,AccidentWeekDay_it,AccidentWeekDay_en,AccidentHour,AccidentHour_text,geometry,latitude,longitude,Punkt,STR_NORTHING,STR_EASTING,STR_ESID,geom,address,Street_Name,Zip_Codes
1998,610,Moosweg,as1,Dürnten,1,5971FC3D74340038E0530A8394277083,at6,Frontalkollision,collision frontale,Collisione frontale,Accident with head-on collision,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,TRUE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2709634,1236598,ZH,113,2017,8,August,août,Agosto,August,aw407,Sonntag,dimanche,Domenica,Sunday,13,13h-14h,,47.27117708,8.887512474,POINT (8.887512474496809 47.27117707916333),1236598,2705423,10126742,"47.27117707916333,8.887512474496809","Walderstrasse, Töbeli, Breitenmatt, Dürnten, Bezirk Hinwil, Zürich, 8635, Schweiz/Suisse/Svizzera/Svizra",Walderstrasse,8635
1999,747,Obermoosberg,as1,Herisau,1,1335A8C5FE7800F4E0530A8394272AB3,at8,Fussgängerunfall,accident impliquant des piétons,Incidente con pedoni,Accident involving pedestrian(s),Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,TRUE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2623678,1250625,BL,2891,2015,1,Januar,janvier,Gennaio,January,aw405,Freitag,vendredi,Venerdì,Friday,9,09h-10h,,47.40601698,7.75232048,POINT (7.752320480154906 47.40601697605138),1250625,2740478,10033037,"47.40601697605138,7.752320480154906","Station, Hauptstrasse, Niederdorf, Bezirk Waldenburg, Basel-Landschaft, 4435, Schweiz/Suisse/Svizzera/Svizra", Hauptstrasse,4435
2000,749,Oberriet,as1,Jonschwil,1,73730F2356D1018CE0530A83942756EE,at8,Fussgängerunfall,accident impliquant des piétons,Incidente con pedoni,Accident involving pedestrian(s),Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,TRUE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2683403,1253932,ZH,261,2018,7,Juli,juillet,Luglio,July,aw405,Freitag,vendredi,Venerdì,Friday,14,14h-15h,,47.43090447,8.544132562,POINT (8.54413256150087 47.43090446952864),1253932,2725278,10109172,"47.43090446952864,8.54413256150087",, Buchs,5033
2001,532,Mittelgasse,as1,Frenkendorf,1,62D3B21792EE0206E0530A8394274B72,at6,Frontalkollision,collision frontale,Collisione frontale,Accident with head-on collision,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,TRUE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2753596,1261422,SG,3213,2017,12,Dezember,décembre,Dicembre,December,aw403,Mittwoch,mercredi,Mercoledì,Wednesday,17,17h-18h,,47.48560917,9.476797691,POINT (9.476797691462073 47.48560917369859),1261422,2620762,10103137,"47.48560917369859,9.476797691462073",, Buchs,5033
2002,897,Ober Blattli,as1,Flühli,1,C30AA3EFEAB601CAE0430A8394277541,at1,Überholunfall oder Fahrstreifenwechsel,accident lors d'un dépassement ou lors d'un changement de voie de circulation,Incidente di sorpasso o al cambiamento di corsia,Accident when overtaking or changing lanes,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,FALSE,rt431,Autostrasse,semi-autoroute,Semiautostrada,Expressway,2658464,1188569,OW,1406,2012,4,April,avril,Aprile,April,aw406,Samstag,samedi,Sabato,Saturday,8,08h-09h,,46.84569373,8.205132048,POINT (8.205132047561541 46.84569372607242),1188569,2646427,10255161,"46.84569372607242,8.205132047561541",, Buchs,5033
2003,886,Neeserweg,as1,Zürich,1,25C076126930005AE0530A839427297A,at1,Überholunfall oder Fahrstreifenwechsel,accident lors d'un dépassement ou lors d'un changement de voie de circulation,Incidente di sorpasso o al cambiamento di corsia,Accident when overtaking or changing lanes,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,TRUE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2645381,1249378,AG,4001,2015,12,Dezember,décembre,Dicembre,December,aw404,Donnerstag,jeudi,Giovedì,Thursday,15,15h-16h,,47.39366499,8.03971604,POINT (8.039716039672371 47.39366499357594),1249378,2678068,10056008,"47.39366499357594,8.03971603967237",, Buchs,5033
2004,887,Negistrasse,as1,Thalheim an der Thur,1,AFE32C7AFC637557E05328B9D80A3237,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2683242,1272026,ZH,67,2020,9,September,septembre,Settembre,September,aw407,Sonntag,dimanche,Domenica,Sunday,11,11h-12h,,47.59364341,8.545381262,POINT (8.545381262278203 47.59364340922432),1272026,2697097,10150023,"47.59364340922432,8.545381262278203",, Buchs,5033
2005,888,Negrellisteg,as1,Zürich,1,9D58362228FC1ED5E05329B9D80A6A9D,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,TRUE,rt439,andere,autre,Altro,Other,2680631,1248283,ZH,261,2019,12,Dezember,décembre,Dicembre,December,aw401,Montag,lundi,Lunedí,Monday,10,10h-11h,,47.38044651,8.506375507,POINT (8.506375506857895 47.38044650808146),1248283,2682549,10249199,"47.38044650808146,8.506375506857895",, Buchs,5033
2006,889,Nelkenweg,as1,Oberriet (SG),1,826355B03A9FECC0E05328B9D80AA57C,at8,Fussgängerunfall,accident impliquant des piétons,Incidente con pedoni,Accident involving pedestrian(s),Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,TRUE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2683838,1247896,ZH,261,2019,1,Januar,janvier,Gennaio,January,aw405,Freitag,vendredi,Venerdì,Friday,18,18h-19h,,47.37656581,8.548765927,POINT (8.548765926539113 47.37656581357777),1247896,2764010,10184457,"47.37656581357777,8.548765926539113",, Buchs,5033
2007,890,Neppenegg,as1,Speicher,1,834610CECBED00DCE05328B9D80A7AB6,at8,Fussgängerunfall,accident impliquant des piétons,Incidente con pedoni,Accident involving pedestrian(s),Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,TRUE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2762870,1250911,SG,3255,2019,2,Februar,février,Febbraio,February,aw405,Freitag,vendredi,Venerdì,Friday,19,19h-20h,,47.38887607,9.595965473,POINT (9.595965473071059 47.38887607464165),1250911,2751211,10103251,"47.38887607464165,9.59596547307106",, Buchs,5033
