,index,STN_LABEL,AccidentSeverityCategory,COM_NAME,# of accidents,AccidentType,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,CantonCode,MunicipalityCode,AccidentYear,AccidentMonth,AccidentWeekDay,AccidentHour,latitude,longitude,Punkt,STR_NORTHING,STR_EASTING,STR_ESID,geom,address
2265,225,Place de Chantemerle,as1,Pully,1,at8,FALSE,FALSE,FALSE,rt439,2538712.0,1152053.0,VD,5586,2014,5,aw402,16,46.51696438662521,6.639997156858,POINT (6.639997156858 46.51696438662521),1152053.0,2540314.0,10235272.0,"46.51696438662521,6.639997156858","22, Avenue de Rumine, Lausanne, District de Lausanne, Vaud, 1005, Schweiz/Suisse/Svizzera/Svizra"
2266,226,Philosophenweg,as1,Aarau,1,at0,FALSE,FALSE,FALSE,rt433,2590066.0,1249726.0,JU,6716,2016,10,aw401,0,47.398278553900624,7.3070339647108336,POINT (7.307033964710834 47.39827855390062),1249726.0,2646214.0,10052668.0,"47.398278553900624,7.3070339647108336","Bifurcation sur Forme, , Mettembert, District de Delémont, Jura, 2806, Schweiz/Suisse/Svizzera/Svizra"
2267,227,Pianoweg,as1,Steinhausen,1,at6,FALSE,FALSE,TRUE,rt433,2633611.0,1227447.0,LU,1122,2016,8,aw401,11,47.19711567109313,7.882181235323685,POINT (7.882181235323685 47.19711567109313),1227447.0,2679534.0,10158768.0,"47.19711567109313,7.882181235323685","Blatten, Roggliswil, Luzern, 6265, Schweiz/Suisse/Svizzera/Svizra"
2268,228,Piazza Emilio Bossi,as1,Lugano,1,at2,FALSE,FALSE,TRUE,rt432,2720415.0,1096019.0,TI,5192,2014,6,aw401,17,46.004993631118886,8.99314620801284,POINT (8.99314620801284 46.00499363111889),1096019.0,2718642.0,10146473.0,"46.004993631118886,8.99314620801284","Strada di Gandria, Ruvigliana, Circolo di Lugano est, Lugano, Distretto di Lugano, Ticino, 6979, Schweiz/Suisse/Svizzera/Svizra"
2269,229,Piazza Lucia Buonvicini-Pizzigaglia,as1,Bellinzona,1,at8,TRUE,FALSE,FALSE,rt432,2504208.0,1116569.0,GE,6613,2018,6,aw406,14,46.1937487669057,6.197761269776683,POINT (6.197761269776683 46.1937487669057),1116569.0,2722252.0,10246369.0,"46.1937487669057,6.197761269776683","78, Rue de Genève, Chêne-Bourg, Genève, 1225, Schweiz/Suisse/Svizzera/Svizra"
2270,230,Piazza Santa Agata,as1,Lugano,1,at6,FALSE,FALSE,FALSE,rt432,2577644.0,1100585.0,VS,6034,2019,9,aw406,12,46.056421071228876,7.149789722258172,POINT (7.149789722258172 46.05642107122888),1100585.0,2719816.0,10168436.0,"46.056421071228876,7.149789722258172","N21;21, La Douay, Chamoille d'Orsières, Orsières, Entremont, Valais/Wallis, 2303, Schweiz/Suisse/Svizzera/Svizra"
2271,259,Rathaus-Unterführung,as1,St. Gallen,1,at0,FALSE,FALSE,FALSE,rt433,2693196.0,1254342.0,ZH,176,2018,9,aw406,1,47.43327787206631,8.674004181424312,POINT (8.674004181424312 47.43327787206631),1254342.0,2745700.0,10142828.0,"47.43327787206631,8.674004181424312","16, Lindauerstrasse, Tagelswangen, Lindau, Bezirk Pfäffikon, Zürich, 8317, Schweiz/Suisse/Svizzera/Svizra"
2272,260,Rathausweg,as1,Schänis,1,at4,FALSE,TRUE,FALSE,rt432,2590564.0,1224416.0,BE,392,2015,1,aw403,11,47.170635717779525,7.314167033982512,POINT (7.314167033982512 47.17063571777953),1224416.0,2721947.0,10225392.0,"47.170635717779525,7.314167033982512","Grienstrasse, Pieterlen, Verwaltungskreis Biel/Bienne, Verwaltungsregion Seeland, Bern/Berne, 2542, Schweiz/Suisse/Svizzera/Svizra"
2273,261,Rebacherstrasse,as1,Freienstein-Teufen,1,at0,FALSE,FALSE,FALSE,rt433,2680665.0,1267247.0,ZH,58,2020,2,aw401,12,47.55098853950101,8.510254930595439,POINT (8.510254930595439 47.55098853950101),1267247.0,2685528.0,10142875.0,"47.55098853950101,8.510254930595439","Glatt Wanderweg, Schachen, Glattfelden, Bezirk Bülach, Zürich, 8192, Schweiz/Suisse/Svizzera/Svizra"
2274,288,Quellenweg,as1,Reinach (BL),1,at3,FALSE,TRUE,FALSE,rt432,2699530.0,1260980.0,ZH,230,2013,11,aw402,17,47.49204420678015,8.759431659036192,POINT (8.759431659036192 47.49204420678015),1260980.0,2611607.0,10103540.0,"47.49204420678015,8.759431659036192","Seenerstrasse, Waser, Seen, Winterthur, Bezirk Winterthur, Zürich, Schweiz/Suisse/Svizzera/Svizra"
